Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,286.456390,287.523193,278.037109,281.176758,281.176758,12946081
2014-09-18,280.885315,281.075409,252.261856,258.426697,258.426697,20995616
2014-09-19,258.221497,259.372528,235.115875,242.429230,242.429230,23285048
2014-09-20,242.353699,259.929993,239.412338,251.092407,251.092407,22636537
2014-09-21,250.589493,253.255142,241.437515,244.570435,244.570435,16299810
2014-09-22,244.741531,249.061081,243.086243,245.679031,245.679031,14739813
2014-09-23,245.642380,269.472107,241.701431,265.872101,265.872101,27514795
2014-09-24,265.847717,265.921936,256.819122,259.269135,259.269135,18763524
2014-09-25,259.239105,259.366760,251.007156,252.035522,252.035522,16420331
2014-09-26,251.946716,254.173340,245.298950,248.907547,248.907547,13208272
2014-09-27,248.372726,250.260330,244.566727,245.888718,245.888718,9249938
2014-09-28,245.858566,246.810074,230.514191,232.282913,232.282913,14542000
2014-09-29,232.127121,236.805191,229.197708,231.213135,231.213135,20012131
2014-09-30,231.595551,241.165176,229.924271,238.692245,238.692245,21409722
2014-10-01,238.990189,241.785995,234.918869,236.989548,236.989548,16203991
2014-10-02,237.220001,237.565170,230.940628,232.156464,232.156464,13479636
2014-10-03,232.223938,235.045746,224.180298,225.215805,225.215805,19358015
2014-10-04,225.453857,228.332397,204.150833,206.017670,206.017670,29591242
2014-10-05,206.048981,214.120773,181.229080,200.820801,200.820801,52198055
2014-10-06,200.744995,215.627884,189.360367,205.387970,205.387970,49164209
2014-10-07,205.702209,211.487442,199.602631,209.019531,209.019531,30589343
2014-10-08,208.975372,219.203278,203.766571,218.403473,218.403473,33871473
2014-10-09,218.284637,237.261185,214.833801,226.471024,226.471024,51892979
2014-10-10,226.260712,232.628540,220.285217,224.921936,224.921936,27163733
2014-10-11,224.797516,228.423645,221.431412,225.380417,225.380417,8301835
2014-10-12,225.571381,235.819153,221.551483,235.269745,235.269745,10909136
2014-10-13,234.879425,247.184830,228.986343,243.051743,243.051743,21927037
2014-10-14,243.847336,256.270142,243.587921,252.278152,252.278152,24223726
2014-10-15,252.331650,252.988861,243.878052,246.949219,246.949219,15805768
2014-10-16,246.789688,249.269958,231.893341,237.730545,237.730545,16772309
